,belongs_to_collection,budget,homepage,runtime,tagline,release_month,genres_Action,genres_Comedy,genres_Documentary,genres_Drama,genres_Horror,production_countries_IN,production_countries_US,spoken_languages_en
11211,0,0.0,0,98.0,0,1,0,0,0,1,0,0,1,1
23938,0,0.0,0,106.0,0,7,0,0,0,0,0,0,1,1
26729,0,0.0,0,81.0,1,10,0,0,0,0,0,0,0,1
8138,0,0.0,0,105.0,1,10,1,0,0,0,0,0,1,1
28023,0,0.0,0,110.0,1,3,0,0,0,0,0,0,0,0
27826,0,2000000.0,0,95.0,1,9,0,0,0,0,1,0,1,1
12975,1,80341000.0,1,150.0,1,7,0,0,0,0,0,0,0,0
3155,0,34000000.0,0,202.0,0,11,0,0,0,1,0,0,1,0
30051,0,0.0,0,115.0,0,2,1,0,0,0,0,0,0,1
1690,0,0.0,0,110.0,1,5,1,0,0,0,0,0,0,1
38557,0,0.0,0,50.0,0,1,0,0,0,0,0,0,1,1
40705,0,25000000.0,1,127.0,1,7,0,0,0,0,0,0,0,1
308,0,0.0,0,95.0,0,4,0,1,0,0,0,0,0,1
2087,0,1500000.0,0,80.0,0,8,0,0,0,0,0,0,1,1
40398,0,0.0,1,130.0,1,4,0,0,0,1,0,0,1,1
35008,0,0.0,0,112.0,1,2,1,0,0,0,0,0,1,1
1258,1,2280000.0,1,124.0,1,11,0,0,0,0,0,0,1,1
46462,0,0.0,0,95.0,0,10,0,0,0,0,0,0,0,0
12305,0,0.0,0,101.0,0,9,0,0,0,1,0,0,0,1
32664,0,0.0,0,98.0,0,2,0,0,0,1,0,0,0,0
27105,0,0.0,0,105.0,1,8,0,1,0,0,0,0,1,1
3457,1,6000000.0,0,98.0,1,7,0,1,0,0,0,0,1,1
22781,0,0.0,0,0.0,0,3,0,1,0,0,0,0,0,0
15838,0,0.0,0,90.0,0,7,0,0,0,1,0,0,0,0
2989,0,0.0,0,112.0,0,11,0,0,0,1,0,0,0,1
27855,0,0.0,0,100.0,1,11,0,0,0,1,0,0,1,1
26050,0,0.0,0,112.0,0,9,0,0,0,0,0,0,0,0
10612,1,72000000.0,0,125.0,1,11,0,0,0,1,0,0,0,1
12386,1,130000000.0,1,124.0,1,12,1,0,0,0,0,0,1,0
12839,0,0.0,0,103.0,0,12,1,0,0,0,0,0,1,0
21843,0,1500000.0,1,104.0,1,7,0,1,0,0,0,0,1,1
38949,1,0.0,0,105.0,0,2,0,1,0,0,0,0,0,0
25426,0,0.0,0,92.0,0,11,0,0,0,0,0,0,0,1
12293,0,35000000.0,0,92.0,1,10,1,0,0,0,0,0,1,1
4733,0,12000000.0,0,86.0,1,10,0,1,0,0,0,0,1,1
21409,0,0.0,0,88.0,1,6,0,0,0,0,0,0,1,1
44674,0,0.0,0,3.0,0,12,0,0,0,0,0,0,0,0
3414,0,3700000.0,0,135.0,1,6,0,0,0,1,0,0,1,1
44367,0,0.0,0,76.0,0,3,0,0,1,0,0,0,0,0
37329,1,60000000.0,1,99.0,1,3,1,0,0,0,0,0,0,1
5798,1,20000000.0,0,85.0,1,11,0,1,0,0,0,0,1,1
33857,0,0.0,0,75.0,0,4,0,0,1,0,0,0,0,1
11402,1,11000000.0,0,95.0,1,9,1,0,0,0,0,0,1,1
36250,0,10000000.0,1,95.0,1,1,0,0,0,0,1,0,1,1
18218,0,20000000.0,1,106.0,1,9,0,1,0,0,0,0,1,1
9723,0,0.0,0,120.0,0,1,0,0,0,1,0,0,0,0
5403,0,0.0,0,107.0,0,4,0,0,0,1,0,0,0,1
2555,1,0.0,0,67.0,1,3,0,0,0,0,0,0,1,1
20883,0,0.0,1,89.0,1,9,0,0,1,0,0,0,0,1
4511,0,0.0,0,108.0,1,6,0,0,0,1,0,0,1,1
155,1,50000000.0,0,100.0,1,5,0,0,0,0,0,0,1,1
36851,0,23000000.0,1,106.0,1,2,0,1,0,0,0,0,0,1
2729,1,0.0,0,98.0,0,1,1,0,0,0,0,0,0,1
2647,0,25000000.0,0,94.0,1,12,1,0,0,0,0,0,1,0
24,0,3600000.0,1,112.0,1,10,0,0,0,1,0,0,1,1
44714,0,0.0,0,58.0,0,1,0,0,0,0,0,0,0,0
41183,0,60000000.0,1,102.0,1,8,0,0,0,0,0,0,1,1
44605,0,0.0,0,113.0,1,4,0,0,0,1,0,0,0,1
41840,0,0.0,1,126.0,1,3,1,0,0,0,0,0,0,0
43004,0,0.0,0,100.0,0,9,0,0,0,0,0,0,1,1
1691,0,25000000.0,0,93.0,1,12,0,0,0,0,0,0,0,1
2185,0,55000000.0,0,122.0,1,9,1,0,0,0,0,0,0,1
11286,0,0.0,0,108.0,1,9,1,0,0,0,0,0,0,0
21256,0,0.0,0,123.0,0,9,0,0,0,1,0,0,0,1
1933,0,7000000.0,0,164.0,0,8,0,0,0,1,0,0,1,1
5373,1,140000000.0,1,88.0,1,7,1,0,0,0,0,0,1,1
38164,0,750000.0,0,179.0,0,8,0,0,0,0,0,1,0,0
13437,0,0.0,0,86.0,0,1,0,0,1,0,0,0,1,1
5989,1,26000000.0,0,90.0,1,1,0,0,0,0,1,0,1,1
480,0,85000000.0,0,130.0,1,6,0,0,0,0,0,0,1,1
1388,0,0.0,0,95.0,1,7,0,0,0,0,0,0,0,1
39850,0,0.0,0,0.0,0,5,0,1,0,0,0,0,1,0
39291,0,0.0,0,87.0,0,4,0,0,0,1,0,0,0,0
31426,0,0.0,1,87.0,1,1,0,0,0,0,0,0,1,1
20853,0,0.0,0,0.0,0,2,0,1,0,0,0,0,1,0
16003,0,0.0,1,103.0,1,9,0,0,0,1,0,0,0,0
24343,0,0.0,0,100.0,1,9,0,1,0,0,0,0,1,1
25984,0,0.0,0,59.0,0,6,0,0,0,1,0,0,0,0
3648,0,16000000.0,0,94.0,1,6,0,1,0,0,0,0,1,1
1379,0,0.0,0,105.0,1,12,0,1,0,0,0,0,1,1
32272,0,0.0,0,90.0,1,4,0,0,0,0,0,0,1,1
7262,0,25000000.0,0,108.0,1,4,0,1,0,0,0,0,1,1
33393,0,0.0,0,92.0,0,12,0,0,0,1,0,0,0,0
15667,0,40000000.0,1,140.0,1,6,1,0,0,0,0,0,0,0
11664,1,17000000.0,1,109.0,1,12,1,0,0,0,0,0,0,1
40012,0,0.0,0,83.0,1,1,0,0,0,0,0,0,1,1
1031,0,0.0,0,85.0,1,9,0,0,1,0,0,0,0,1
20411,0,0.0,0,92.0,1,5,0,0,0,0,1,0,0,1
29620,0,0.0,0,88.0,0,5,0,0,0,1,0,0,0,1
13825,0,0.0,0,85.0,1,2,0,0,0,1,0,0,0,1
6763,0,0.0,0,130.0,0,5,0,0,0,1,0,0,0,1
